Review,Label
"।।।।।।।।।।।।Buy one get one Mexican  পাস্তা।।।।।।।।।।
গোপি আর কোকিলার  খালি কুকার এর ঝামেলা বাদ দিয়ে আসুন আমরা পাস্তা খাই। 
যদি দুই জন hangout  এর জন্য প্লেস খুজেন তাহলে মিরপুর ৬০ ফিটের Food chemistry rooftop cafe তে আপনি সেই পরিবেশ পাবেন আর সাথে পাবেন  দুইজনের জন্য মাত্র ২৫০ টাকায় পারফেক্ট পাস্তা অফার। 
যদি বলি টেস্ট এর কথা তবে আপনি চোখ বন্ধ করে বিশ্বাস রাখতে পারেন। 
এই অফারে আপনি পাবেন ২টি Mexican oven pasta মাত্র ২৫০ টাকায়।
Location :Food chemistry rooftop cafe (Mirpur 60 feet,beside chapra mosjid)
validity : 30/08/20 to 02/09/20",0
"।।#review দেখে গেছিলাম
ভাবতেই অবাক লাগে ১২ রকমের items এক প্লেটারে।।
#দুইজনের_জন্যে_নয়_তাও_মাত্র_একজনের__জন্যে ।
1..পছন্দের #chowmine ছাড়াও রয়েছে
2.. #fried_rice         | 7.. #thai_sup
3.. #fried_chicken . | 8.. #vegetable_curry
4.. #BBQ_chicken . | 9.. #green_chatni
5.. #egg .               | 10. #salad
6.. #chicken_pasta . | 11. #ice_crem
12.. #coca_cola\pepsi
#এত্ত_এত্ত_রকমের_খাবার_কোথাও_দিয়েছে_কিনা_আমার_সন্দেহ …
#দামের_কথা_আার_কি_বলবো ,
#স্বাধীনতা_দিবসের_জন্য_২৫০টাকার_Hot_মেনু_এখন_মাত্র__১৯০tk
এ_সেট_মেনুর_অফার_ছিল ২৮ মার্চ পর্যন্ত বাড়লো আরো ১০ দিন
সব আইটেম গুলো ছিল অনেক ভাল😍😍😍😍😍😍😍😍😍😍😍😍😍
___
তাই অফারটি মিস করা থেকে বিরত থাকুন।
#আর_আসতে_অবশ্যই_খালি_পেটে_আসবেন ।
#Location .. shymoli square
#A_Hot_pizza
#shop...631,...........6th floor",0
"#Partner_Platter ❤
#বিগ_বাইট রেষ্টুরেন্ট এবারই প্রথমবারের মতো নিয়ে এলো Partner Platter। 🤜🤛
পার্টনার হতে পারে বন্ধু, হতে পারে কলিগ অথবা ভাই-বোন। তাই আপনার খাওয়ার পার্টনারকে নিয়ে চলে আসুন পার্টনার প্লেটারের ডাবল অফারে। 👬👫👭
৪৯৯ টাকায় ২ প্লেইট ২ জন পার্টনার মিলে এবার জমবে খাওয়া। সাথে single প্লেইট অর্ডার করলে মাত্র ২৭০/= টাকা যোগ করতে হবে। 😊
যা যা থাকছে এ প্লেটারে,
1. Egg fried rice
2. Tandori Chicken / Peri Peri Chicken
3. Chicken chili Dry
4. Spicy Chicken Dopiaza
5. Chicken Garlic Vegetable
6. Chicken Chili Onion
7. Coleslaw Salad
8. Shahi Pan Masala
9. Drink
▪Double : 499/= TK (2 Person)
▪Single Plate : 270/= TK
** For percel extra 10tk charge(per plate) will be applicable. 👍
** Available from 10th July 2018 to 15th july 2018. 😎
** For percel order please call, 01732 900 666. ☎️
#HAPPY_MUNCHING ✌
Kumarparah Point, Sylhet.
+88 01732 900 666",0
"অথেনটিক পিজ্জা খেতে চাইলে এইটা মাস্ট ট্রাই ❤️
৪৯ টাকার অফার পিজ্জা খেতে গেছিলাম Pizza Station এ। অফার শেষ, তাই ভাবলাম এসেছি একটা পিজ্জা ট্রাই করেই যাই। অর্ডার করলাম তাদের Beef Supreme নামের পিজ্জাটা।
আমার খাওয়া সেরা পিজ্জা গুলোর মধ্যে এইটা একটা। থিন ক্রাস্ট, হালকা চিজ আর উপরে বিফ কিমার টপিং। পুরাই প্রিমিয়াম একটা পিজ্জার ফিল দেয়। বিফ কিমায় হালকা নোনতা ও গোলমরিচ এর স্বাদ আর সাথে দেওয়া মেয়নিসের হালকা মিষ্টি একদম পারফেক্ট ব্যালেন্স। বেশ দারুন লাগে খেতে। যাদের একদম চিজে মাখামাখি পিজ্জা ভালো লাগে না, তারা Pizza Station এর পিজ্জা একবার ট্রাই করে দেখতে পারেন ❤️
দাম: ৪৯০ টাকা (১২"")
রেটিং: ৯/১০
",0
"অনলি ফর ইউনিভার্সিটি কাপল স্টুডেন্ট 
ধানমন্ডিতে কোথাও নাকি কাপলদের জন্য রিজেনেবল প্রাইসে সেট মেনু দিচ্ছে না 
তাই আমরা 129 টাকায় তাদের তৃপ্তি সহকারে উন্নত মানের কোয়ালিটি সম্পন্ন 100% হালাল ফুড পরিবেশন করেছি
Teste:9/10
Tk-129 only
Reting:10/10
👉পিজা পাস্তা ডাইন 👈
লোকেশন: ধানমন্ডি 15 গ্রীন তাজ সেন্টার আলমাস বিল্ডিং",0
"📱Follow @foodieguybd (www.instagram.com/foodieguybd/) & ⠀⠀⠀⠀⠀⠀
👍🏻 Like - Foodie Guy BD for more honest food reviews.⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀
📍Place : Pizza Inn Baily Road
🍕🍕🍕
Pizza Inn - এর পিজ্জা আমার বরাবরই ভালো লাগে। তাই আবারও চলে গেলাম বন্ধুদের নিয়ে তাদের পিজ্জা খেতে। নিয়েছিলাম তাদের Pizza inn special pizza(medium) আর Salad Bar(small)।
🔴 Pizza Inn Special Medium : তাদের পিজ্জা খেতে বরাবরই দারুণ লাগে। তাদের পিজ্জায় চিজের পরিমাণ খুবেই ভালো থাকে। পিজ্জার বাকি টপিং গুলাও আমার খেতে খুবেই অসাধারন লেগেছে। বিশেষ করে মোজেরেলা চিজটা খেতে দারুণ ছিল।
🔴 Salad Bar - Small : পিজ্জার সাথে নিয়েছিলাম তাদের সালাদ-বার। তাদের সালাদের সব আইটেমই ছিল খুবেই ফ্রেশ। তারা সালাদের সাথে তিন ধরণের ড্রেসিং দিয়ে থাকে। তা সালাদের সাথে মিশিয়ে খেতে দারুণ লাগে। যার স্বাদ এখন মুখে লেগে আছে।
--------------------------------------------------
🔰আইটেম:
🔴 Pizza Inn Special Medium
✅ Pepperoni,
✅ Beef,
✅ Sausage,
✅ Fresh onions and green peppers,<br>
✅ Mushrooms,
✅ Black olives &
✅ Topped with mozzarella cheese.
🔴 Salad Bar - Small
✅ Mushroom Salad,
✅ Sweet Corn,
✅ Red Kidney Bean,
✅ Green Olives,
✅ Macaroni,
✅ Hawaiian Salad,
✅ Coleslaw,
✅ Potato Salad,
✅ Penne Salad,
✅ Lettuce &
✅ jelly.
তাদের সালাদের সাথে তিন ধরণের ড্রেসিং থাকে :
✅ Thousand Island,
✅ Italian Dressing &
✅ French Dressing.
🔰লোকেশন:
➡ 2 New Baily Road Green Cozy Cottage,
(4th Floor), Lift-4, Dhaka 1217.
🔰রেটিং:
➡ Pizza Inn Special Medium : 8/10
➡ Salad Bar - Small : 9/10
🔰দাম:
➡ Pizza Inn Special Medium : 780 + 15% vat
➡ Salad Bar - Small : 245 + 15% vat
-----------------------------------------------------------------
",0
"অনেক দিন ধরে lockdown এর কারণে বাইরে যাওয়া হই না এজন্য pizza খাওয়া হই না। পেtook রসুইঘর  পেজের Review দেখে ওখান থেকে খাবার অডর্ার করি তাদের খাবারের মান অনেক ভালো এবং তাদের ব্যবহার ও অনেক ভালো। ওদের pizza টা just wow😍😍😍 আর নওয়াবি সেমাই আর মোমোটা আরো অস্থির 🤤🤤🤤 আপনারা তাদের পেজে দেখতে পারেন তাদের আরো item available আছে। আশা করি আপনারা হতাশ হবেন না।🙂🙂
বি. দ্র. এই সব item দিনে দিনে order kora
Item:01
Chicken pizza😍😍
Prize :320tk
Item:02
Chicken momo
Prize: 130tk
Quantity : 10 piece 
Item:03
Nawabi semai
Prize :80 tk 
Quantity :150 gm
সবগুলো প্রাইজ পো্রমোশনাল☺☺☺",0
"অনেক দিন ধরে ফ্রেন্ড ট্রিট চাচ্ছিলো কিন্তু সময় হচ্ছিলো না। আজ সময় পেয়ে চলে গেলাম খিলগাঁও এর Yumm Minion 😍 কম টাকাতে বেশি খাবার 😍 যেমন তাদের খাবারের কোয়ালিটি তেমন তাদের ব্যবহার 🥰 
 এই রেস্টুরেন্টের বড় সুবিধা হলো প্রায় প্রতি মাসে অফার চলে। তাদের ফেসবুকে নিয়মিত অফার আপডেট হতে থাকে আপনার পছন্দ মত একটা অফার বেছে নিতে পারে।
 আমরা যা যা নিয়েছিলাম-
 Hanging Chicken With Rice- রাইস ভেজিটেবল সালাদ আর সাথে চিকেন😍রাইস টা খেতে অসাধারণ ছিল আর চিকেন টা খেতে দারুন ছিলো 🥰 আমার পার্সোনালি এই আইটেম টা অনেক ভালো লেগেছে।
 Price- 319‌ tk
 Special chawmin 1:1- চাউমিনে ভেজিটেবল, সস,উপরে টমেটো সাথে একটু ঝাল 😍 আহহহ দারুন😋 চাউমিনটাও ভালো ছিলো ছিলো।
 Rating- 9/10 😇
 Location- তালতলা, খিলগাঁও, ঢাকা-১২১৯
 Map- https://maps.app.goo.gl/ZdUimA2hTL11H6t56",0
"""অনেক বছর ধরে বড়ই এর আচার খাই নাই.....যদিও এখন নিজেও আচার বানাতে পারি তারপরও যখন দেখলাম এই আচারের পিছনে একজন মা-এর সাবলম্বী হওয়ার গল্প আছে তখন ভাবলাম বানিয়েতো কতই খেতে পারবো কিন্তু এই পেইজ থেকে আচার নিলে একজন মা কে অনুপ্রেরণা দেয়া হবে....💙💙
 তার মুখের তৃপ্তির হাসির কারণ হবে ১ বয়াম আচার বিক্রি হওয়া ☺☺☺
#স্বাদের কথায় আসি এবার..... আমি পারসোনালি যেরকম স্বাদ আশা করেছিলাম একদম ১০০% ঐরকমটাই পেয়েছি 😁😁😍😍 Azad Mohammad Anwar Mridha""",0
"অনেক ভাল ছিল খাবারটা 
সাথে কোল্ড কপি ও ছিল, 
আমি Mexican fried rice নিছিলাম
1.fried rice
2.fry chicken
3.bbq chicken
4.chicken curry
5.vegetable curry
6.green souch
7.colsllow salad
8.thi sup
9. dairy milk chocolate
10.cold cofe/drinks
 price.. 200 tk
taste...9/10
place...spicy Indian food
shymoly square shopping mall 6th floor",0
